Date,Gas Production
2/4/2016,1652.797
2/5/2016,1642.266
2/6/2016,1630.984
2/7/2016,1613.321
2/8/2016,1599.896
2/9/2016,1597.124
2/10/2016,1590.332
2/11/2016,1578.162
2/12/2016,1561.702
2/13/2016,1536.002
2/14/2016,1554.257
2/15/2016,1489.388
2/16/2016,1548.137
2/17/2016,1543.01
2/18/2016,1532.593
2/19/2016,1539.103
2/20/2016,1528.306
2/21/2016,1516.973
2/22/2016,1519.317
2/23/2016,1537.001
2/24/2016,1541.48982
2/25/2016,1542.009
2/26/2016,1544.811
2/27/2016,1544.566
2/28/2016,1537.749
2/29/2016,1528.444
3/1/2016,1645.544
3/2/2016,1659.617
3/3/2016,1647.837
3/4/2016,1638.217
3/5/2016,1640.179
3/6/2016,1623.646
3/7/2016,1602.493
3/8/2016,1589.611
3/9/2016,1580.072
3/10/2016,1565.751
3/11/2016,1548.826
3/12/2016,1535.683
3/13/2016,1512.828
3/14/2016,1460.39
3/15/2016,1541.146
3/16/2016,1540.06
3/17/2016,1529.737
3/18/2016,1526.189
3/19/2016,554.2993
3/20/2016,1854.765
3/21/2016,1818.257
3/22/2016,1792.991
3/23/2016,1780.269
3/24/2016,1748.924
3/25/2016,1753.18
3/26/2016,1680.907
3/27/2016,1682.715
3/28/2016,1702.268
3/29/2016,1724.934
3/30/2016,1729.965
3/31/2016,1721.552
4/1/2016,1675.214
4/2/2016,1664.591
4/3/2016,1624.592
4/4/2016,1542.659
4/5/2016,1539.994
4/6/2016,785.9234
4/7/2016,0
4/8/2016,830.5815
4/9/2016,1641.942
4/10/2016,1728.098
4/11/2016,1673.507
4/12/2016,1692.426
4/13/2016,908.1697
4/14/2016,1494.65
4/15/2016,1645.69
4/16/2016,1687.072
4/17/2016,1676.968
4/18/2016,1660.964
4/19/2016,1626.578
4/20/2016,1579.656
4/21/2016,1526.62
4/22/2016,2.016549
4/23/2016,0
4/24/2016,0
4/25/2016,0
4/26/2016,0
4/27/2016,0
4/28/2016,0
4/29/2016,0
4/30/2016,0
5/1/2016,0
5/2/2016,0
5/3/2016,0
5/4/2016,0
5/5/2016,0
5/6/2016,0
5/7/2016,0
5/8/2016,0
5/9/2016,0
5/10/2016,0
5/11/2016,0
5/12/2016,0
5/13/2016,0
5/14/2016,0
5/15/2016,0
5/16/2016,0
5/17/2016,0
5/18/2016,0
5/19/2016,0
5/20/2016,0
5/21/2016,0
5/22/2016,0
5/23/2016,0
5/24/2016,0
5/25/2016,0
5/26/2016,0
5/27/2016,0
5/28/2016,0
5/29/2016,0
5/30/2016,0
5/31/2016,0
6/1/2016,0
6/2/2016,0
6/3/2016,0
6/4/2016,0
6/5/2016,0
6/6/2016,0
6/7/2016,0
6/8/2016,0
6/9/2016,0
6/10/2016,0
6/11/2016,0
6/12/2016,0
6/13/2016,0
6/14/2016,0
6/15/2016,0
6/16/2016,0
6/17/2016,0
6/18/2016,0
6/19/2016,0
6/20/2016,0
6/21/2016,0
6/22/2016,0
6/23/2016,0
6/24/2016,0
6/25/2016,0
6/26/2016,0
6/27/2016,0
6/28/2016,0
6/29/2016,0
6/30/2016,0
7/1/2016,0
7/2/2016,0
7/3/2016,0
7/4/2016,0
7/5/2016,0
7/6/2016,0
7/7/2016,0
7/8/2016,0
7/9/2016,0
7/10/2016,0
7/11/2016,0
7/12/2016,0
7/13/2016,0
7/14/2016,0
7/15/2016,0
7/16/2016,0
7/17/2016,0
7/18/2016,0
7/19/2016,0
7/20/2016,0
7/21/2016,0
7/22/2016,0
7/23/2016,0
7/24/2016,0
7/25/2016,0
7/26/2016,0
7/27/2016,0
7/28/2016,0
7/29/2016,0
7/30/2016,0
7/31/2016,0
8/1/2016,0
8/2/2016,0
8/3/2016,0
8/4/2016,0
8/5/2016,0
8/6/2016,0
8/7/2016,0
8/8/2016,0
8/9/2016,0
8/10/2016,0
8/11/2016,0
8/12/2016,0
8/13/2016,0
8/14/2016,0
8/15/2016,0
8/16/2016,0
8/17/2016,0
8/18/2016,0
8/19/2016,0
8/20/2016,0
8/21/2016,0
8/22/2016,0
8/23/2016,0
8/24/2016,0
8/25/2016,0
8/26/2016,0
8/27/2016,0
8/28/2016,0
8/29/2016,0
8/30/2016,0
8/31/2016,0
9/1/2016,0
9/2/2016,1106.443
9/3/2016,1785.675
9/4/2016,1754.389
9/5/2016,1728.791
9/6/2016,1720.2259
9/7/2016,1703.496
9/8/2016,1707.0357
9/9/2016,1707.498
9/10/2016,1763.13
9/11/2016,1759.49
9/12/2016,1762.4281
9/13/2016,1761.069
9/14/2016,1753.84
9/15/2016,1760.967
9/16/2016,1716.741
9/17/2016,1706.04
9/18/2016,1730.427
9/19/2016,1723.836
9/20/2016,1724.458
9/21/2016,1720.965
9/22/2016,1716.121
9/23/2016,1714.444
9/24/2016,1704.335
9/25/2016,1704.424
9/26/2016,1693.936
9/27/2016,1682.71
9/28/2016,1696.3
9/29/2016,1689.339
9/30/2016,1665.89
10/1/2016,1615.446
10/2/2016,1609.387
10/3/2016,1606.954
10/4/2016,1598.834
10/5/2016,1587.902
10/6/2016,1583.45
10/7/2016,1573.669
10/8/2016,1575.533
10/9/2016,1573.416
10/10/2016,1567.575
10/11/2016,1574.134
10/12/2016,1553.489
10/13/2016,1609.061
10/14/2016,1572.694
10/15/2016,1574.814
10/16/2016,1574.515
10/17/2016,1576.05042
10/18/2016,1576.004
10/19/2016,1576.0482
10/20/2016,1560.386
10/21/2016,1552.429
10/22/2016,1548.425
10/23/2016,1544.907
10/24/2016,1540.4
10/25/2016,1539.799
10/26/2016,1531.761
10/27/2016,1526.46
10/28/2016,1443.012
10/29/2016,1603.699
10/30/2016,1557.063
10/31/2016,1546.144
11/1/2016,1540.786
11/2/2016,1551.537
11/3/2016,1534.867
11/4/2016,1531.661
11/5/2016,1537.174
11/6/2016,1527.293
11/7/2016,1481.071
11/8/2016,1484.518
11/9/2016,1501.37
11/10/2016,1497.76
11/11/2016,1507.149
11/12/2016,1505.935
11/13/2016,1505.935
11/14/2016,1505.93
11/15/2016,1479.326
11/16/2016,1492.542
11/17/2016,1483.008
11/18/2016,1470.014
11/19/2016,1466.718
11/20/2016,1447.341
11/21/2016,1387.936
11/22/2016,1419.479
11/23/2016,1445.637
11/24/2016,1433.66
11/25/2016,1423.186
11/26/2016,1414.809
11/27/2016,1419.738
11/28/2016,1432.882
11/29/2016,518.872
11/30/2016,665.236
12/1/2016,1598.195
12/2/2016,703.248
12/3/2016,1449.781
12/4/2016,2099.33
12/5/2016,2111.036
12/6/2016,2167.3
12/7/2016,2218.261
12/8/2016,1205.777
12/9/2016,1910.4381
12/10/2016,1918.7954
12/11/2016,2115.168
12/12/2016,2065.792
12/13/2016,2062.016
12/14/2016,2072.261
12/15/2016,2058.752
12/16/2016,2013.064
12/17/2016,2069.329
12/18/2016,1719.881
12/19/2016,1532.06
12/20/2016,1528.09
12/21/2016,1555.613
12/22/2016,1542.915
12/23/2016,1519.786
12/24/2016,1535.049
12/25/2016,1510.11
12/26/2016,1484.726
12/27/2016,1497.485
12/28/2016,1513.816
12/29/2016,1530.683
12/30/2016,1506.13
12/31/2016,1477.986
1/1/2017,1454.29
1/2/2017,1492.706
1/3/2017,1501.98
1/4/2017,1465.52
1/5/2017,1514.633
1/6/2017,1544.39
1/7/2017,1514.668
1/8/2017,1461.667
1/9/2017,1508.502
1/10/2017,1539.662
1/11/2017,1518.925
1/12/2017,1531.164
1/13/2017,1540.656
1/14/2017,1553.894
1/15/2017,1525.735
1/16/2017,1480.673
1/17/2017,1485.635
1/18/2017,1534.964
1/19/2017,1573.025
1/20/2017,1587.391
1/21/2017,1600.322
1/22/2017,1523.322
1/23/2017,1511.702
1/24/2017,1532.177
1/25/2017,1543.066
1/26/2017,1524.397
1/27/2017,1495.994
1/28/2017,1474.227
1/29/2017,1427.125
1/30/2017,1426.697
1/31/2017,1453.971
2/1/2017,1499.89
2/2/2017,1513.34
2/3/2017,1506.806
2/4/2017,1488.359
2/5/2017,1477.024
2/6/2017,1341.374
2/7/2017,1134.663
2/8/2017,1127.527
2/9/2017,1135.496
2/10/2017,1123.269
2/11/2017,1083.952
2/12/2017,1119.984
2/13/2017,1127.061
2/14/2017,1125.949
2/15/2017,1158.648
2/16/2017,1197.696
2/17/2017,1218.053
2/18/2017,1192.256
2/19/2017,1216.217
2/20/2017,1224.991
2/21/2017,1185.913
2/22/2017,1219.935
2/23/2017,1248.262
2/24/2017,1107.5684
2/25/2017,1228.228
2/26/2017,1204.99
2/27/2017,1179.698
2/28/2017,1139.217
3/1/2017,1175.956
3/2/2017,1312.183
3/3/2017,1477.068
3/4/2017,1458.24
3/5/2017,1195.921
3/6/2017,1140.476
3/7/2017,1097.92
3/8/2017,1081.576
3/9/2017,1102.504
3/10/2017,1085.121
3/11/2017,1097.268
3/12/2017,1077.935
3/13/2017,1078.401
3/14/2017,1091.347
3/15/2017,1109.795
3/16/2017,1119.372
3/17/2017,1155.356
3/18/2017,1145.077
3/19/2017,1081.18
3/20/2017,1060.207
3/21/2017,1077.056
3/22/2017,1123
3/23/2017,1162.12583
