Date,Caramelo-2,Caramelo-3,Toposi-1,Toposi-2H,La Estancia-1H
8/24/2015,854.3694,,848.2299,703.6187,
8/25/2015,937.4959,,944.5343,800.9945,
8/26/2015,917.2609,,920.3365,668.5894,
8/27/2015,917.8317,,918.7942,1344.913,
8/28/2015,964.4993,,944.9699,1692.742,
8/29/2015,979.8779,,952.5567,934.7299,
8/30/2015,955.7249,,924.988,907.6354,
8/31/2015,978.2577,,945.0177,931.8237,
9/1/2015,979.3429,,939.7586,932.1494,
9/2/2015,979.6527,,936.848,930.9521,
9/3/2015,982.2739,,937.4224,932.9579,
9/4/2015,974.2814,,926.13,922.372,
9/5/2015,983.9487,,936.3088,934.3737,
9/6/2015,984.5724,,936.4118,934.6341,
9/7/2015,985.1855,,935.4378,934.586,
9/8/2015,986.555,,936.5865,936.5846,
9/9/2015,988.2717,,936.5461,937.4066,
9/10/2015,982.50565,,928.5621,928.5286,
9/11/2015,968.7894,,911.3424,911.4478,
9/12/2015,974.5356,,905.2643,918.176,
9/13/2015,967.6579,,893.7678,909.1319,
9/14/2015,944.9588,,880.7862,882.8259,604.874
9/15/2015,971.8831,,903.8298,924.9769,984.725
9/16/2015,982.1774,,902.6599,923.821,961.64
9/17/2015,983.9786,,902.6854,926.8901,986.584
9/18/2015,979.5419,,908.4384,939.5599,991.74
9/19/2015,944.2121,,904.816,932.4838,985.654
9/20/2015,971.4528,,901.0873,932.9564,984.254
9/21/2015,973.0172,,893.3047,931.6541,921.45
9/22/2015,964.0666,,874.6056,902.2956,942.3647
9/23/2015,976.7868,,891.9301,923.1622,972.541
9/24/2015,974.4443,,1556.106,919.1664,987.654
9/25/2015,976.5344,,1350.584,928.4232,965.64
9/26/2015,971.6314,,981.562,928.96606,966.325
9/27/2015,978.0292,,985.9512,920.65,986.65
9/28/2015,978.1141,,985.4195,920.487,978.64
9/29/2015,976.9368,,984.2936,921.1957,952.1254
9/30/2015,976.5509,,984.3574,917.4093,948.3654
10/1/2015,977.8373,,985.7895,920.5536,957.34
10/2/2015,972.5211,,979.6481,913.4854,948.4
